# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Nov 25 13:35:08 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0075779 -0.30000 9.00000 0.3822356462 2.0932954472    0.382 -1.750  3.5431  4.894    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-15      0.00 7.300e-01 2.623e-01 1.371e-03 3.698e-04 3.354e-03 -1.000 7.623e-03 9.145 13.580 12.228 10.742 9.658 8.516 7.367 6.758 6.521
0.0075779 -0.30000 9.00000 0.3955754042 2.1123620797    0.395 -1.712  3.5459  4.882    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-15      0.00 7.300e-01 2.623e-01 1.371e-03 3.698e-04 3.354e-03 -1.000 7.623e-03 9.050 13.435 12.091 10.613 9.539 8.416 7.280 6.668 6.433
0.0075779 -0.30000 9.00000 0.4448617101 2.1761610512    0.444 -1.555  3.5590  4.829    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-15      0.00 7.300e-01 2.623e-01 1.371e-03 3.698e-04 3.354e-03 -1.000 7.623e-03 8.659 12.826 11.512 10.068 9.038 8.003 6.925 6.303 6.076
0.0075779 -0.30000 9.00000 0.4506447911 2.1830424648    0.450 -1.535  3.5610  4.822    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-15      0.00 7.300e-01 2.623e-01 1.371e-03 3.698e-04 3.354e-03 -1.000 7.623e-03 8.608 12.746 11.435 9.995 8.971 7.950 6.880 6.256 6.031
0.0075779 -0.30000 9.00000 0.4941480458 2.2313752924    0.494 -1.391  3.5756  4.778    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-15      0.00 7.300e-01 2.623e-01 1.371e-03 3.698e-04 3.354e-03 -1.000 7.623e-03 8.249 12.177 10.887 9.479 8.496 7.573 6.564 5.928 5.715
0.0075779 -0.30000 9.00000 0.5187777877 2.2560085576    0.518 -1.304  3.5861  4.753    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.64e-15      0.00 7.318e-01 2.607e-01 1.362e-03 3.675e-04 3.334e-03 -1.000 7.582e-03 8.031 11.817 10.542 9.160 8.205 7.345 6.375 5.731 5.529
0.0075779 -0.30000 9.00000 0.5434343815 2.2781467397    0.543 -1.222  3.5969  4.734    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.39e-15      0.00 7.325e-01 2.600e-01 1.359e-03 3.666e-04 3.325e-03 -1.000 7.570e-03 7.825 11.475 10.214 8.863 7.935 7.133 6.198 5.544 5.357
0.0075779 -0.30000 9.00000 0.5894862413 2.3138489900    0.589 -1.065  3.6196  4.703    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.27e-15      0.00 7.330e-01 2.594e-01 1.357e-03 3.662e-04 3.321e-03 -1.000 7.538e-03 7.432 10.801 9.561 8.295 7.428 6.730 5.858 5.186 5.039
0.0075779 -0.30000 9.00000 0.5927207470 2.3161178914    0.592 -1.054  3.6212  4.701    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.42e-15      0.00 7.330e-01 2.594e-01 1.357e-03 3.661e-04 3.320e-03 -1.000 7.535e-03 7.405 10.754 9.516 8.257 7.394 6.703 5.836 5.163 5.019
0.0075779 -0.30000 9.00000 0.6420070529 2.3474642587    0.642 -0.890  3.6494  4.685    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.17e-15      0.00 7.334e-01 2.590e-01 1.355e-03 3.657e-04 3.316e-03 -1.000 7.522e-03 6.996 9.886 8.740 7.624 6.858 6.284 5.496 4.848 4.743
0.0075779 -0.30000 9.00000 0.6460119486 2.3497708679    0.646 -0.877  3.6517  4.684    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.43e-15      0.00 7.335e-01 2.590e-01 1.355e-03 3.656e-04 3.316e-03 -1.000 7.522e-03 6.963 9.805 8.676 7.572 6.816 6.250 5.470 4.827 4.725
0.0075779 -0.30000 9.00000 0.6912934780 2.3737271623    0.691 -0.735  3.6769  4.672    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-14      0.00 7.338e-01 2.587e-01 1.353e-03 3.651e-04 3.312e-03 -1.000 7.500e-03 6.609 8.889 8.003 7.030 6.376 5.886 5.193 4.618 4.536
0.0075779 -0.30000 9.00000 0.7405797243 2.3960112705    0.740 -0.592  3.7017  4.658    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-14      0.00 7.343e-01 2.581e-01 1.336e-03 3.641e-04 3.307e-03 -1.000 7.529e-03 6.250 8.028 7.396 6.528 5.965 5.527 4.918 4.418 4.348
0.0075779 -0.30000 9.00000 0.7528818250 2.4010528772    0.753 -0.558  3.7071  4.653    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-14      0.00 7.345e-01 2.580e-01 1.335e-03 3.639e-04 3.306e-03 -1.000 7.509e-03 6.165 7.843 7.263 6.417 5.872 5.444 4.852 4.368 4.300
0.0075779 -0.30000 9.00000 0.7887352705 2.4147201183    0.788 -0.461  3.7226  4.639    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.34e-14      0.00 7.350e-01 2.575e-01 1.330e-03 3.633e-04 3.301e-03 -1.000 7.453e-03 5.924 7.331 6.899 6.111 5.613 5.213 4.670 4.229 4.167
0.0075779 -0.30000 9.00000 0.8368906975 2.4309748125    0.836 -0.338  3.7411  4.615    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-14      0.00 7.358e-01 2.568e-01 1.327e-03 3.624e-04 3.292e-03 -1.000 7.480e-03 5.615 6.732 6.462 5.742 5.293 4.923 4.436 4.042 3.988
0.0075779 -0.30000 9.00000 0.8850461841 2.4452123442    0.884 -0.220  3.7574  4.586    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -4.1e-14      0.00 7.369e-01 2.557e-01 1.322e-03 3.610e-04 3.280e-03 -1.000 7.433e-03 5.320 6.201 6.068 5.409 5.001 4.656 4.214 3.858 3.811
0.0075779 -0.30000 9.00000 0.8960270882 2.4482135072    0.895 -0.194  3.7607  4.579    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-14      0.00 7.372e-01 2.554e-01 1.320e-03 3.607e-04 3.277e-03 -1.000 7.429e-03 5.255 6.092 5.984 5.337 4.938 4.597 4.164 3.815 3.770
0.0075779 -0.30000 9.00000 0.9332016110 2.4577734358    0.932 -0.108  3.7718  4.554    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-14      0.00 7.384e-01 2.542e-01 1.316e-03 3.593e-04 3.264e-03 -1.000 7.429e-03 5.040 5.747 5.708 5.104 4.730 4.407 4.002 3.676 3.636
0.0075779 -0.30000 9.00000 0.9757425189 2.4676921179    0.975 -0.012  3.7829  4.523    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.77e-14      0.00 7.405e-01 2.521e-01 1.306e-03 3.567e-04 3.241e-03 -1.000 7.386e-03 4.801 5.387 5.409 4.852 4.502 4.197 3.821 3.518 3.484
0.0075779 -0.30000 9.00000 0.9813570976 2.4689275267    0.981  0.000  3.7844  4.519    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.97e-14      0.00 7.409e-01 2.518e-01 1.304e-03 3.563e-04 3.237e-03 -1.000 7.376e-03 4.770 5.343 5.370 4.819 4.473 4.170 3.798 3.498 3.465
0.0075779 -0.30000 9.00000 1.0050016642 2.4739564526    1.004  0.052  3.7899  4.500    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.77e-14      0.00 7.429e-01 2.498e-01 1.295e-03 3.538e-04 3.215e-03 -1.000 7.321e-03 4.640 5.162 5.213 4.685 4.350 4.056 3.697 3.409 3.379
0.0075779 -0.30000 9.00000 1.0295126438 2.4788902284    1.029  0.105  3.7956  4.480    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.67e-14      0.00 7.451e-01 2.476e-01 1.285e-03 3.512e-04 3.192e-03 -1.000 7.264e-03 4.508 4.989 5.055 4.548 4.226 3.941 3.594 3.316 3.288
0.0075779 -0.30000 9.00000 1.0618733168 2.4850045627    1.061  0.172  3.8026  4.454    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.77e-14      0.00 7.458e-01 2.469e-01 1.285e-03 3.512e-04 3.192e-03 -1.000 7.247e-03 4.339 4.771 4.853 4.374 4.066 3.791 3.461 3.196 3.171
0.0075779 -0.30000 9.00000 1.0776680708 2.4878359803    1.077  0.205  3.8060  4.441    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.460e-01 2.468e-01 1.285e-03 3.514e-04 3.194e-03 -1.000 7.242e-03 4.258 4.670 4.758 4.291 3.989 3.720 3.397 3.138 3.115
0.0075779 -0.30000 9.00000 1.1043698788 2.4924114783    1.103  0.259  3.8115  4.420    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-13      0.00 7.461e-01 2.466e-01 1.287e-03 3.517e-04 3.197e-03 -1.000 7.270e-03 4.122 4.503 4.598 4.151 3.861 3.601 3.290 3.042 3.021
0.0075779 -0.30000 9.00000 1.1258234978 2.4959074051    1.125  0.302  3.8159  4.403    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-13      0.00 7.460e-01 2.467e-01 1.288e-03 3.521e-04 3.201e-03 -1.000 7.267e-03 4.015 4.376 4.473 4.042 3.760 3.507 3.206 2.966 2.946
0.0075779 -0.30000 9.00000 1.1411186457 2.4983076989    1.140  0.332  3.8190  4.391    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-13      0.00 7.462e-01 2.466e-01 1.288e-03 3.520e-04 3.200e-03 -1.000 7.262e-03 3.941 4.288 4.386 3.965 3.689 3.441 3.147 2.914 2.895
0.0075779 -0.30000 9.00000 1.1739789248 2.5032221076    1.173  0.395  3.8256  4.367    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-13      0.00 7.463e-01 2.464e-01 1.287e-03 3.518e-04 3.199e-03 -1.000 7.275e-03 3.783 4.106 4.202 3.802 3.539 3.302 3.023 2.803 2.785
0.0075779 -0.30000 9.00000 1.2106351852 2.5083438185    1.210  0.463  3.8332  4.343    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 7.461e-01 2.466e-01 1.288e-03 3.521e-04 3.200e-03 -1.000 7.289e-03 3.614 3.912 4.004 3.628 3.379 3.155 2.894 2.689 2.672
0.0075779 -0.30000 9.00000 1.2221345901 2.5098779198    1.221  0.483  3.8355  4.335    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-13      0.00 7.460e-01 2.467e-01 1.288e-03 3.521e-04 3.201e-03 -1.000 7.294e-03 3.561 3.854 3.943 3.574 3.330 3.109 2.854 2.653 2.637
0.0075779 -0.30000 9.00000 1.2702898979 2.5159567131    1.270  0.568  3.8461  4.310    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-13      0.00 7.460e-01 2.467e-01 1.288e-03 3.521e-04 3.201e-03 -1.000 7.274e-03 3.351 3.618 3.695 3.356 3.133 2.931 2.698 2.519 2.504
0.0075779 -0.30000 9.00000 1.3184454441 2.5215277184    1.318  0.649  3.8580  4.293    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-13      0.00 7.464e-01 2.463e-01 1.286e-03 3.517e-04 3.197e-03 -1.000 7.270e-03 3.148 3.393 3.453 3.147 2.946 2.766 2.560 2.404 2.391
0.0075779 -0.30000 9.00000 1.3666011095 2.5266496488    1.366  0.726  3.8713  4.284    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.96e-13      0.00 7.468e-01 2.459e-01 1.285e-03 3.512e-04 3.193e-03 -1.000 7.257e-03 2.954 3.180 3.219 2.946 2.772 2.616 2.438 2.308 2.296
0.0075779 -0.30000 9.00000 1.3926873207 2.5292547554    1.393  0.767  3.8786  4.281    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.96e-13      0.00 7.470e-01 2.457e-01 1.284e-03 3.510e-04 3.191e-03 -1.000 7.259e-03 2.852 3.070 3.097 2.842 2.682 2.539 2.377 2.260 2.248
0.0075779 -0.30000 9.00000 1.4147562981 2.5313726263    1.415  0.801  3.8845  4.278    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-13      0.00 7.472e-01 2.456e-01 1.283e-03 3.508e-04 3.190e-03 -1.000 7.261e-03 2.767 2.980 2.996 2.755 2.607 2.475 2.326 2.220 2.208
0.0075779 -0.30000 9.00000 1.4304479361 2.5328328614    1.430  0.825  3.8885  4.275    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-13      0.00 7.473e-01 2.454e-01 1.283e-03 3.507e-04 3.189e-03 -1.000 7.255e-03 2.708 2.917 2.926 2.695 2.555 2.431 2.289 2.190 2.179
0.0075779 -0.30000 9.00000 1.4629117250 2.5357398379    1.463  0.873  3.8961  4.267    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-13      0.00 7.475e-01 2.453e-01 1.282e-03 3.505e-04 3.187e-03 -1.000 7.247e-03 2.587 2.790 2.786 2.574 2.450 2.339 2.213 2.127 2.116
0.0075779 -0.30000 9.00000 1.4713090658 2.5364678048    1.471  0.885  3.8979  4.264    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-13      0.00 7.475e-01 2.452e-01 1.282e-03 3.504e-04 3.186e-03 -1.000 7.246e-03 2.557 2.758 2.750 2.543 2.422 2.315 2.192 2.109 2.098
0.0075779 -0.30000 9.00000 1.5110672712 2.5397885038    1.511  0.943  3.9055  4.248    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-13      0.00 7.477e-01 2.450e-01 1.281e-03 3.503e-04 3.184e-03 -1.000 7.242e-03 2.413 2.608 2.588 2.401 2.296 2.202 2.094 2.022 2.012
0.0075779 -0.30000 9.00000 1.5397622585 2.5420630361    1.539  0.984  3.9102  4.235    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-13      0.00 7.479e-01 2.449e-01 1.281e-03 3.502e-04 3.184e-03 -1.000 7.248e-03 2.311 2.503 2.474 2.301 2.205 2.121 2.021 1.957 1.946
0.0075779 -0.30000 9.00000 1.5592226982 2.5435509173    1.559  1.011  3.9132  4.224    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-13      0.00 7.479e-01 2.448e-01 1.281e-03 3.501e-04 3.183e-03 -1.000 7.251e-03 2.242 2.432 2.398 2.234 2.144 2.065 1.970 1.910 1.900
0.0075779 -0.30000 9.00000 1.5607293844 2.5436643352    1.560  1.013  3.9134  4.224    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 7.479e-01 2.448e-01 1.281e-03 3.501e-04 3.183e-03 -1.000 7.251e-03 2.237 2.427 2.392 2.229 2.140 2.061 1.966 1.907 1.897
0.0075779 -0.30000 9.00000 1.5949255228 2.5461723751    1.594  1.062  3.9180  4.203    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-13      0.00 7.480e-01 2.448e-01 1.280e-03 3.501e-04 3.182e-03 -1.000 7.229e-03 2.116 2.303 2.261 2.112 2.032 1.961 1.874 1.821 1.811
0.0075779 -0.30000 9.00000 1.6073782444 2.5470552669    1.607  1.079  3.9195  4.195    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-13      0.00 7.480e-01 2.448e-01 1.280e-03 3.501e-04 3.181e-03 -1.000 7.210e-03 2.072 2.258 2.213 2.070 1.992 1.924 1.840 1.789 1.779
0.0075779 -0.30000 9.00000 1.6114119291 2.5473378905    1.611  1.085  3.9200  4.192    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -8.19e-14      0.00 7.480e-01 2.448e-01 1.280e-03 3.501e-04 3.181e-03 -1.000 7.209e-03 2.058 2.244 2.198 2.056 1.980 1.912 1.829 1.779 1.769
0.0075779 -0.30000 9.00000 1.6399239302 2.5492901002    1.639  1.124  3.9230  4.172    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.93e-15      0.00 7.480e-01 2.448e-01 1.280e-03 3.501e-04 3.181e-03 -1.000 7.237e-03 1.959 2.142 2.093 1.960 1.890 1.827 1.749 1.703 1.693
0.0075779 -0.30000 9.00000 1.6555335522 2.5503261898    1.655  1.146  3.9244  4.160    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-15      0.00 7.480e-01 2.448e-01 1.280e-03 3.501e-04 3.182e-03 -1.000 7.251e-03 1.905 2.087 2.036 1.908 1.840 1.780 1.704 1.660 1.650
0.0075779 -0.30000 9.00000 1.6853938103 2.5522468122    1.684  1.187  3.9267  4.136    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.66e-25      0.00 7.479e-01 2.448e-01 1.280e-03 3.502e-04 3.183e-03 -1.000 7.244e-03 1.802 1.982 1.927 1.808 1.745 1.688 1.616 1.574 1.564
0.0075779 -0.30000 9.00000 1.7036890984 2.5533853958    1.703  1.213  3.9277  4.120    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.479e-01 2.449e-01 1.281e-03 3.503e-04 3.183e-03 -1.000 7.201e-03 1.739 1.918 1.860 1.746 1.685 1.630 1.559 1.519 1.509
0.0075779 -0.30000 9.00000 1.7298326492 2.5549644376    1.729  1.249  3.9286  4.093    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.478e-01 2.449e-01 1.281e-03 3.503e-04 3.184e-03 -1.000 7.224e-03 1.648 1.826 1.766 1.656 1.597 1.544 1.475 1.436 1.426
0.0075779 -0.30000 9.00000 1.7518446445 2.5562519947    1.751  1.279  3.9287  4.069    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.478e-01 2.450e-01 1.281e-03 3.505e-04 3.184e-03 -1.000 7.234e-03 1.572 1.749 1.686 1.579 1.521 1.468 1.399 1.360 1.350
0.0075779 -0.30000 9.00000 1.7542616129 2.5563911092    1.753  1.283  3.9287  4.066    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.478e-01 2.450e-01 1.281e-03 3.505e-04 3.185e-03 -1.000 7.234e-03 1.563 1.741 1.678 1.570 1.512 1.460 1.391 1.352 1.342
0.0075779 -0.30000 9.00000 1.7833731174 2.5580326841    1.782  1.323  3.9281  4.030    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.477e-01 2.451e-01 1.281e-03 3.504e-04 3.186e-03 -1.000 7.240e-03 1.462 1.640 1.573 1.467 1.409 1.357 1.286 1.247 1.237
0.0075779 -0.30000 9.00000 1.7999999523 2.5589429085    1.799  1.346  3.9270  4.007    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.476e-01 2.452e-01 1.282e-03 3.504e-04 3.186e-03 -1.000 7.242e-03 1.405 1.584 1.514 1.407 1.349 1.295 1.222 1.183 1.172
0.0075779 -0.30000 9.00000 1.8135728836 2.5596717372    1.812  1.365  3.9262  3.988    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.475e-01 2.453e-01 1.282e-03 3.505e-04 3.187e-03 -1.000 7.244e-03 1.358 1.537 1.467 1.359 1.299 1.244 1.171 1.130 1.120
0.0075779 -0.30000 9.00000 1.8447741270 2.5613004906    1.843  1.408  3.9219  3.935    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.473e-01 2.454e-01 1.283e-03 3.508e-04 3.189e-03 -1.000 7.242e-03 1.250 1.432 1.358 1.242 1.177 1.117 1.036 0.991 0.980
