19800.406,19799.606,19801.154
19824.656,19823.843,19825.417
19964.877,19964.232,19965.6
20329.184,20328.429,20330.1
20372.227,20371.498,20372.698
20405.984,20405.236,20406.558
20712.658,20712.019,20713.058
20829.592,20829.166,20830.211
20882.232,20881.555,20882.787
20948.086,20947.26,20948.86
21095.402,21094.712,21096.176
21162.035,21161.409,21162.641
21216.309,21215.67,21217.032
21735.457,21734.676,21736.328
21813.977,21813.203,21814.816
21851.381,21850.484,21852.175
22079.852,22079.11,22080.517
22385.102,22384.257,22386.037
22425.377,22424.758,22426.08
22493.67,22492.889,22494.483
22770.365,22769.468,22771.204
22812.586,22811.792,22813.476
22845.939,22845.139,22846.868
