15581.80736,15581.432,15582.222
15582.58055,15582.205,15583.018
15585.43714,15584.915,15585.89
15586.44205,15585.935,15586.957
15600.73887,15600.247,15601.362
15802.50398,15802.113,15803.135
15805.57685,15804.985,15805.991
15820.39628,15819.912,15820.857
15849.19672,15848.566,15849.758
15855.8246,15855.333,15856.409
15869.9568,15869.426,15870.518
16159.30605,16158.783,16159.953
16193.07854,16192.641,16193.555
16211.77067,16211.233,16212.231
16222.60361,16222.05,16223.235
16237.90119,16237.324,16238.47
16249.53172,16248.932,16250.186
16273.9354,16273.475,16274.435
16276.23821,16275.809,16276.83
16309.23208,16308.888,16309.801
16314.42677,16313.997,16314.918
16438.77651,16438.246,16439.237
16449.34757,16448.848,16449.839
16461.09421,16460.688,16461.555
16469.0747,16468.661,16469.59
16490.49989,16489.985,16491.038
16578.97528,16578.445,16579.498
16606.53682,16605.983,16607.09
16610.13359,16609.557,16610.71
16629.45485,16628.994,16629.923
16630.36307,16629.918,16630.948
16637.40784,16636.97,16637.985
16640.3477,16639.848,16640.777
16670.58914,16670.144,16671.065
16671.54842,16671.15,16671.924
16677.63137,16677.24,16678.107
16736.43647,16735.984,16736.913
16771.63077,16771.224,16772.153
16796.19722,16795.837,16796.689
16848.70516,16848.337,16849.189
16852.89683,16852.537,16853.481
16876.5761,16876.232,16877.246
16881.79386,16881.171,16882.409
17014.95943,17014.321,17015.59
17045.98627,17045.541,17046.695
17151.07925,17150.317,17151.323
17213.34178,17212.881,17213.826
