wavelength_center,wavelength_start,wavelength_end,abundance,error_abu_minus,error_abu_plus,chi2_red,p_value
14668.345,14667.93965726026,14668.714184616394,7.158227783203124,0.028297853273193674,0.027858302882962427,0.4681855366370241,0.9113926636535876
14672.116,14671.812294040928,14672.431915925836,7.030908203125,0.08050780272459956,0.06839109617429973,0.0917813158973398,0.9994346850700558
14672.779,14672.50936866145,14673.361348753195,6.85,0.0,0.02807807807807805,0.2770775386731963,0.9900782368522973
14673.008,14672.50936866145,14673.361348753195,6.85,0.0,0.02807807807807805,0.2770775386731963,0.9900782368522973
14814.734,14814.325327569528,14815.487118603729,7.196748046875001,0.01661791674487123,0.016565266438312243,0.36725884805622133,0.9868706736174412
14826.408,14825.943237911533,14826.950123474508,7.2599121093750005,0.022774972237863622,0.02317097370808252,1.1893742231262059,0.27941291662750856
14838.275,14837.638600989152,14838.877844758967,7.188507934570314,0.021991418053797673,0.021401975339595758,1.2711881461649797,0.20533836216303114
14863.668,14863.198003741563,14864.127436568926,7.426728515625001,0.03388567278215859,0.03333154443505926,1.6717087657055933,0.06595002974097897
14867.607,14867.22554599346,14868.15497882082,7.260266113281251,0.028234081249218335,0.027922074906937766,2.0465274364469304,0.017060197273908506
14897.405,14896.967396468994,14897.896829296355,7.2385859375,0.024421773335835617,0.02407672516266235,0.6988813112835079,0.7542383836749108
14931.852,14931.433863816943,14932.28584390869,7.306148681640623,0.0400826155745575,0.03819566270372121,0.1875957736261854,0.9982598337587101
14979.695,14979.299654426006,14980.07418178214,7.256195068359375,0.0216104837747908,0.02178290961860263,0.38688568310139915,0.9530691878982113
14987.293,14986.890022516116,14987.742002607863,7.184119506835938,0.05248787520430653,0.04961422689779571,0.07013043974222,0.9999866926777242
14988.778,14988.36162449277,14989.368510055743,7.214488647460937,0.02159575456804408,0.021797638825349352,0.4442444653646094,0.953953667546357
15017.7,15017.251494876557,15018.103474968304,7.244684082031249,0.02371311106027818,0.02393453658736977,0.1077513192744665,0.9998812355595588
15194.49,15194.07609028188,15194.928070373626,7.1450625,0.021088526026026067,0.022304867367367365,0.20410367424230944,0.9974326554559683
15343.788,15343.404964544457,15344.256944636201,7.262567138671875,0.02202659813133412,0.022217646112910217,1.389993627795729,0.16960482271700894
15395.718,15395.2208446698,15396.305182968386,7.281553955078126,0.022294695818866117,0.02194954842537733,1.112570822944133,0.33994741622907787
15648.51,15648.026573711839,15648.956006539198,7.24061865234375,0.022200233925332213,0.02204401031891212,0.1805378568544949,0.9991048748017028
15741.918,15741.434572861563,15742.441458424535,7.326052856445312,0.02425105464350974,0.024247443854988227,0.4112903709180428,0.966745179021738
15818.142,15817.648064705118,15818.654950268092,7.3465905761718755,0.02181580139710082,0.02157759199629261,0.2628225982820129,0.9959632226580085
15821.712,15821.210890543334,15822.140323370693,7.249911499023438,0.01958116869310711,0.019557970446031803,0.9272003730056054,0.518118021322979
15911.302,15910.901158383615,15911.830591210974,7.255398559570312,0.020813974985728123,0.0208777167059635,0.7167935412187317,0.7365359561944107
15964.865,15964.266093221226,15965.427884255427,7.1968359375,0.019258359922423196,0.019880779216716604,0.15923807227988662,0.9999051459238384
16040.654,16040.247226857942,16041.176659685303,7.249380493164062,0.02160271538628411,0.02179067800710932,0.6061417465014606,0.8390088739340785
16180.9,16180.514131053755,16181.3661111455,7.310782470703124,0.021743431664084767,0.02250081258015868,0.439362039402731,0.9389843230060325
16284.769,16284.223344040056,16285.46258780987,7.23938134765625,0.014156122431025153,0.013921955647052897,0.6995665638587805,0.7974144865748098
16318.691,16318.147642238713,16319.231980537299,7.295098876953125,0.02052430237855063,0.02031653846229098,0.2980156316741316,0.9943379036486565
16324.452,16323.956597409715,16325.0409357083,7.369157714843748,0.023111668797701768,0.022834277148243487,1.8384980971598517,0.02793552459441251
16436.621,16436.185611313485,16437.115044140846,7.214224609374999,0.019630014780404714,0.0203599752095851,0.3931827884956668,0.9667353682948752
16486.667,16486.0651730485,16487.226964082696,7.3196044921875,0.022056944639952114,0.021336448753441317,1.2926765811435112,0.19659542375905348
16517.223,16516.73645635139,16517.665889178752,7.39253173828125,0.0218110175605295,0.02158237583286393,0.6937338546246282,0.7592607114938124
17008.971,17008.483874760674,17009.645665794877,7.263275146484375,0.01933120254043086,0.01895708574785715,0.04494427344893467,0.9999999847970795
17020.74,17020.33414330952,17021.26357613688,7.223789794921875,0.024940946073026105,0.024408403276322765,0.8436225064975328,0.6051295374955994
17166.201,17165.635475320203,17166.797266354402,7.4422265625,0.01960393987737774,0.020386050112612963,1.2744565296810724,0.20848766515163697
17200.312,17199.86958446131,17200.876470024283,7.176220336914064,0.025869986563713532,0.026031915338188938,0.16367810403483882,0.9996794967847826
17204.215,17203.587315770754,17204.981465011795,7.067325439453125,0.019077191204877053,0.019211097083411843,1.0369023147854448,0.4127671439603374
17204.297,17203.74222124198,17204.904012276183,7.06619873046875,0.018801333071353454,0.019486955216935442,0.9882606250823055,0.46417423244464107
17257.564,17256.952250608363,17258.191494378178,7.4003930664062505,0.020312986326170623,0.020527854514670096,1.5539639856361274,0.07226962124644365
17282.291,17281.582220533415,17283.05382251007,7.107886962890626,0.01879787380153708,0.018639563635900913,0.76083012297726,0.7565034608090816
17418.506,17417.74412974172,17418.983373511535,7.147958862304687,0.024835739181564342,0.021961057615232704,0.17915123843902125,0.9998751459162069
17453.84,17453.217482652643,17454.379273686845,7.335469360351561,0.021755646637847015,0.021637746755546416,0.2185228167034135,0.9993067815584018
