wavelength_center,wavelength_start,wavelength_end,abundance,error_abu_minus,error_abu_plus,chi2_red,p_value
14668.345,14667.93965726026,14668.714184616394,7.145068359374999,0.029602893909533634,0.026553262246622467,0.5852939897133347,0.8274634965742227
14672.116,14671.812294040928,14672.431915925836,7.0205078125,0.07946677145895897,0.07028297829079033,0.08494170624227176,0.9995762134888418
14672.779,14672.50936866145,14673.361348753195,6.85,0.0,0.02807807807807805,0.277380599008591,0.9900319724595679
14673.008,14672.50936866145,14673.361348753195,6.85,0.0,0.02807807807807805,0.277380599008591,0.9900319724595679
14814.734,14814.325327569528,14815.487118603729,7.127474365234375,0.016263154023163473,0.016069178309169097,0.3321339444259621,0.9922776402017984
14826.408,14825.943237911533,14826.950123474508,7.072872314453125,0.02292236450317553,0.023023581442770613,1.4012985924397927,0.1494568673076374
14838.275,14837.638600989152,14838.877844758967,7.165986328124999,0.01989023202890383,0.020099757961086873,1.259903089207514,0.2131687972052747
14863.668,14863.198003741563,14864.127436568926,7.411623535156251,0.03154345507617151,0.032270358737642724,1.56646934413958,0.09353061617968084
14867.607,14867.22554599346,14868.15497882082,7.2486724853515625,0.027701514380591874,0.027603790924713323,2.211551590913505,0.008998804276553862
14897.405,14896.967396468994,14897.896829296355,7.1682714843749995,0.022175388278903974,0.02206885596534036,0.5758169050222716,0.8635161159874629
14931.852,14931.433863816943,14932.28584390869,7.2973266601562505,0.038918251747841914,0.0376583248287341,0.17815813072326772,0.9986324526007447
14979.695,14979.299654426006,14980.07418178214,7.224873046875,0.02091909292104699,0.01992174791979462,0.6017190905709929,0.8138168757829998
14987.293,14986.890022516116,14987.742002607863,7.178818359375001,0.050590131146772244,0.04895941840277729,0.0534270534162271,0.9999967803458896
14988.778,14988.36162449277,14989.368510055743,7.144808349609375,0.020834375635400804,0.020006465205439916,0.2779350806901904,0.9946536569051866
15017.7,15017.251494876557,15018.103474968304,7.184619140625001,0.021506027511888348,0.021887365881505083,0.2054003117882839,0.9973572481197169
15194.49,15194.07609028188,15194.928070373626,7.0283447265625,0.017533915751688944,0.01735096913319545,0.3859889023078143,0.9621646069818892
15343.788,15343.404964544457,15344.256944636201,7.192617187500001,0.01929386417667711,0.0198452749624618,1.4183075911690997,0.15658629500093868
15395.718,15395.2208446698,15396.305182968386,7.201933593750001,0.020101761918168926,0.01988822807182089,0.8690480814724072,0.5929195648331975
15648.51,15648.026573711839,15648.956006539198,7.133974609375,0.019359994760384858,0.01892829352790315,0.3612612944761265,0.9766018963870072
15741.918,15741.434572861563,15742.441458424535,7.21125,0.02090965965965985,0.02078203203203266,0.32358772251062906,0.9887880531094465
15818.142,15817.648064705118,15818.654950268092,7.183652343750001,0.02053923063688856,0.021152461054803062,0.3138595648562699,0.9903082590636247
15821.712,15821.210890543334,15822.140323370693,7.188486328125,0.01771555735422936,0.018020178381505936,1.0548666068650183,0.3943506507214142
15911.302,15910.901158383615,15911.830591210974,7.150605468750001,0.018973837118370085,0.01931445116991881,1.0914829459916426,0.36197276926823374
15964.865,15964.266093221226,15965.427884255427,7.1086669921875,0.017876201396709313,0.017859534339026872,0.18947459347890022,0.999712929910547
16040.654,16040.247226857942,16041.176659685303,7.126781005859374,0.018973198051566165,0.019315090236721844,0.6190051914740727,0.8280787545552567
16180.9,16180.514131053755,16181.3661111455,7.2172265625000005,0.0192285645020025,0.019910574637136413,0.39988419708107503,0.9567707093051971
16284.769,16284.223344040056,16285.46258780987,7.205537109374999,0.013495067332957689,0.013732159894269458,0.6849545732563834,0.8119921240274152
16318.691,16318.147642238713,16319.231980537299,7.224609375,0.01810286849349385,0.018483718093093238,0.20160783732957202,0.9993481192737027
16324.452,16323.956597409715,16325.0409357083,7.221884765624999,0.020483364223597533,0.020357476617243186,1.5970435194879176,0.07154003187492664
16436.621,16436.185611313485,16437.115044140846,7.143681640624999,0.018005964949323605,0.01772977078641169,0.342031278960907,0.9814784070445762
16486.667,16486.0651730485,16487.226964082696,7.157988281250001,0.02040069366241326,0.02044014717842746,1.4571830548754936,0.11158858908846969
16517.223,16516.73645635139,16517.665889178752,7.25955810546875,0.019868415779060733,0.020121574210929083,0.9339954192993976,0.5111869027975442
17008.971,17008.483874760674,17009.645665794877,7.246194458007812,0.018416680230034288,0.018169906356551913,0.03607883905179132,0.9999999968979789
17020.74,17020.33414330952,17021.26357613688,7.209228515625,0.024844131240615575,0.024505218108733295,0.6785849593503123,0.7738563682258933
17166.201,17165.635475320203,17166.797266354402,7.389499511718751,0.017927940147179022,0.017807795588556274,1.1164703262669446,0.33420900733902914
17200.312,17199.86958446131,17200.876470024283,7.16220703125,0.024619443662412976,0.023879054836085878,0.10672185065539164,0.9999727211715849
17204.215,17203.587315770754,17204.981465011795,7.0111328125,0.017339018706206133,0.017545866178679148,0.8653328255001975,0.6221122650312179
17204.297,17203.74222124198,17204.904012276183,7.0101806640625,0.01723772111955757,0.01764716376532771,0.8034428145522617,0.6751159931026072
17257.564,17256.952250608363,17258.191494378178,7.3543023681640625,0.01931738317907783,0.018970905109211067,1.3560445293733323,0.15325701341511233
17282.291,17281.582220533415,17283.05382251007,7.058658447265624,0.017217005824182507,0.01681702820985098,0.8632415119348041,0.6303383663350848
17418.506,17417.74412974172,17418.983373511535,7.13726806640625,0.024355153493337056,0.023292494154310006,0.21913356938741504,0.9995265301520814
17453.84,17453.217482652643,17454.379273686845,7.306059570312499,0.020423934676863098,0.02041690616397762,0.26181350299868605,0.9979660319520178
