wavelength,start,end,abundance,error_abu_minus,error_abu_plus,chi2_red,$R^2$,p_value
14661.144,14660.659100112603,14661.588532939963,8.60859375,0.003838995245246224,0.0038687124624630087,4.731207278007551,1.0,8.680697372032142e-08
15002.153,15001.68349501827,15002.61292784563,8.619355468749998,0.005191304585832057,0.005219105824577852,0.9349939258163427,1.0,0.5101709209801322
15003.12,15002.690380581242,15003.619813408604,8.61228515625,0.0049277988926412775,0.005082211117368729,0.9802448419408992,1.0,0.46490141118421124
15130.921,15130.332488872076,15131.494279906276,8.6226953125,0.004827444632130806,0.004882265077577941,0.4101285423041997,1.0,0.9770811187727327
15266.168,15265.56496525302,15266.72675628722,8.6175390625,0.005276800237737689,0.00533381037287306,0.6522703971097218,1.0,0.8330989925499672
15391.205,15390.496227797385,15391.890377038426,8.599609375,0.004364129754753421,0.004344578953954681,0.16838210294437808,1.0,0.9999699998938457
15409.17,15408.542715195299,15409.7045062295,8.60525390625,0.004503155499248734,0.00460595360985927,0.8101231401393016,1.0,0.6675009084486005
15428.401,15427.983351834257,15428.990237397229,8.611113281249999,0.005958126094842697,0.0060538859171686,0.21773617233045336,1.0,0.9984793679878349
15429.688,15429.067690132844,15430.074575695817,8.6013671875,0.010125946258757068,0.009994173861363365,0.29693127149610804,1.0,0.9925904406937954
15505.746,15505.513540183238,15506.597878481825,8.592343749999998,0.004305711961958281,0.004302896646649401,0.1374890778930052,1.0,0.9999342385477606
15568.782,15568.172803294456,15569.41204706427,8.59755859375,0.004515550706955196,0.004593558402152809,1.1502284566050023,1.0,0.30079518304434305
15651.897,15651.357041343213,15652.363926906188,8.59328125,0.004842811561561078,0.004966998248248089,1.0363551454521729,1.0,0.4120031256024471
15719.695,15719.12818500491,15720.289976039112,8.596191406250002,0.004850064908659135,0.004859644801049612,0.35559358727975743,1.0,0.9889018908344244
15755.52,15754.91134885829,15755.995687156876,8.577597656250001,0.00547553412787849,0.005535476883132162,1.167569382866805,1.0,0.2927059167610613
15756.53,15756.073139892489,15757.080025455462,8.58578125,0.005450919669669929,0.005459991241242079,0.7589430169976018,1.0,0.7048325532323239
16052.766,16052.1749481424,16053.259286440987,8.58298828125,0.004459752721469812,0.004549256287537773,1.50919499792345,1.0,0.09837886804562057
16247.884,16247.51074735932,16248.749991129132,8.568125000000002,0.0042110860860873345,0.004197322322321284,1.825500407283047,1.0,0.022570695169800592
16312.92,16311.87397065403,16313.345572630684,8.57724609375,0.005224071727978341,0.005186338682433345,0.37350349914711123,1.0,0.99368031994104
16347.493,16347.192418093726,16348.044398185473,8.594843749999999,0.007506412662660722,0.007508602352354288,2.242376030770284,1.0,0.010199216567968294
16368.136,16367.562487560042,16368.724278594244,8.588671875000001,0.004838041166166818,0.004871668543543706,1.1789152613073233,1.0,0.2796576958687268
16662.2,16661.805430155233,16662.812315718205,8.59970703125,0.0050623866053545186,0.005147823604854551,0.5984502062788776,1.0,0.8576407256833938
16904.278,16903.69032347579,16904.774661774372,8.597070312500001,0.005228470658158457,0.005282039852351872,0.9283654453954928,1.0,0.5267507069514847
17423.859,17423.398179441498,17424.40506500447,8.575722656250003,0.006503437030783488,0.006509575982230231,1.2111802701951462,1.0,0.2631551026847334
