wavelength_center,wavelength_start,wavelength_end,abundance,error_abu_minus,error_abu_plus,chi2_red,p_value
14661.144,14660.659100112603,14661.588532939963,8.330175781250006,0.007152758226983025,0.007261656187431242,3.7143064616590937,1.2199461691952962e-05
15002.153,15001.68349501827,15002.61292784563,8.332226562500006,0.010404740678184865,0.01041608014263673,0.8454737787220026,0.6031813866802824
15003.12,15002.690380581242,15003.619813408604,8.348398437500009,0.008958998060569101,0.009059019957447845,0.41965101459617266,0.9567720965792813
15130.921,15130.332488872076,15131.494279906276,8.3498046875,0.008763646458959329,0.008853971158657714,0.4416258332143531,0.9672474555353295
15266.168,15265.56496525302,15266.72675628722,8.358789062500001,0.00933961305055142,0.009479205768267107,1.285226914121669,0.20139407525881858
15391.205,15390.496227797385,15391.890377038426,8.310136718750002,0.008334916948200544,0.00808149946821679,0.16099535660217978,0.9999787491150216
15409.17,15408.542715195299,15409.7045062295,8.322910156250005,0.008295541635391146,0.008521275181426091,1.277223156666686,0.20664784218446242
15428.401,15427.983351834257,15428.990237397229,8.341015625000006,0.010785394769776246,0.010836226851845154,0.1569636573107042,0.9997466484783902
15429.688,15429.067690132844,15430.074575695817,8.334101562500006,0.017885346283790682,0.01734988895144518,0.32343022500161106,0.9888139428590073
15505.746,15505.513540183238,15506.597878481825,8.302753906250002,0.008159311655408175,0.00825710476100916,0.14975812941724714,0.9998889080726983
15568.782,15568.172803294456,15569.41204706427,8.320625000000003,0.008412787787790421,0.00840402902902504,0.3783510073732083,0.987505913920144
15651.897,15651.357041343213,15652.363926906188,8.30498046875,0.009184672954203776,0.009233745464214849,1.0058401182240062,0.44196453015756554
15719.695,15719.12818500491,15720.289976039112,8.317695312500003,0.008686303490994973,0.008931314126623846,0.27210463576440397,0.9974578632436688
15755.52,15754.91134885829,15755.995687156876,8.290742187500001,0.010161606919421473,0.00985841310059854,1.040931263844665,0.4079487547151648
15756.53,15756.073139892489,15757.080025455462,8.302460937500001,0.0098683449074084,0.00975127471221171,0.5575103565430445,0.8889428082283807
16052.766,16052.1749481424,16053.259286440987,8.295019531250002,0.00803254426301514,0.008383872153400418,1.2135561439011842,0.2567225760559433
16247.884,16247.51074735932,16248.749991129132,8.259746093749994,0.008394742398643018,0.008422074418174219,0.8815970424174618,0.5908505337826877
16312.92,16311.87397065403,16313.345572630684,8.284238281249998,0.009663706675423711,0.009555512543796496,0.46079241134289417,0.9773300178168972
16347.493,16347.192418093726,16348.044398185473,8.324316406250006,0.013705795639396001,0.013521431587831145,1.8083899055129729,0.04683990002444527
16368.136,16367.562487560042,16368.724278594244,8.315410156250003,0.008803549643396025,0.008814067974221018,0.6198794702785523,0.861416858840457
16662.2,16661.805430155233,16662.812315718205,8.321562500000002,0.009350287787789568,0.00906813063062728,0.5240875072265437,0.9115226633329574
16904.278,16903.69032347579,16904.774661774372,8.330703125000005,0.009281703578583489,0.009537115240235039,0.34347705743096485,0.9883010942947674
17423.859,17423.398179441498,17424.40506500447,8.29958984375,0.011802055962213842,0.011821567661410626,0.5821052297393168,0.8705996981850874
